,时间,当前温度,上一次温度,模块内部时间,Suc
1060,03-20 01:48:17.443,51,51,Tm=01:46,0 
1061,03-20 01:49:07.552,51,51,Tm=01:46,0 
1062,03-20 01:49:57.504,51,51,Tm=01:47,0 
1063,03-20 01:50:47.612,51,51,Tm=01:48,0 
1064,03-20 01:51:37.564,51,51,Tm=01:49,0 
1065,03-20 01:52:27.688,51,51,Tm=01:50,0 
1066,03-20 01:53:17.640,51,51,Tm=01:51,0 
1067,03-20 01:54:07.748,51,51,Tm=01:51,0 
1068,03-20 01:54:57.825,51,51,Tm=01:52,0 
1069,03-20 01:55:47.808,51,51,Tm=01:53,0 
1070,03-20 01:56:37.761,51,51,Tm=01:54,0 
1071,03-20 01:57:27.869,51,51,Tm=01:55,0 
1072,03-20 01:58:17.821,51,51,Tm=01:56,0 
1073,03-20 01:59:07.929,51,51,Tm=01:56,0 
1074,03-20 01:59:57.881,51,51,Tm=01:57,0 
1075,03-20 02:00:48.005,51,51,Tm=01:58,0 
1076,03-20 02:01:37.942,51,51,Tm=01:59,0 
1077,			,51,51,Tm=02:00,0 
1078,03-20 02:03:18.844,51,51,Tm=02:01,0 
1079,03-20 02:04:08.126,51,51,Tm=02:01,0 
1080,03-20 02:04:58.078,51,51,Tm=02:02,0 
1081,03-20 02:05:48.186,51,51,Tm=02:03,0 
1082,03-20 02:06:38.138,51,51,Tm=02:04,0 
1083,03-20 02:07:28.246,51,51,Tm=02:05,0 
1084,03-20 02:08:18.214,51,51,Tm=02:06,0 
1085,03-20 02:09:08.322,51,51,Tm=02:06,0 
1086,			,51,51,Tm=02:07,0 
1087,03-20 02:10:48.741,51,51,Tm=02:08,0 
1088,03-20 02:11:38.335,51,51,Tm=02:09,0 
1089,03-20 02:12:28.693,51,51,Tm=02:10,0 
1090,03-20 02:13:18.395 0Cmode=7,51,51,Tm=02:11,0 
1091,03-20 02:14:08.503,51,51,Tm=02:11,0 
1092,03-20 02:14:58.471,51,51,Tm=02:12,0 
1093,03-20 02:15:48.564,51,51,Tm=02:13,0 
1094,03-20 02:16:38.531,51,51,Tm=02:14,0 
1095,03-20 02:17:28.640,51,51,Tm=02:15,0 
1096,			,51,51,Tm=02:16,0 
1097,03-20 02:19:08.762,51,51,Tm=02:16,0 
1098,03-20 02:19:58.714,51,51,Tm=02:17,0 
1099,03-20 02:20:48.823,51,51,Tm=02:18,0 
1100,03-20 02:21:38.790,51,51,Tm=02:19,0 
1101,03-20 02:22:29.132,51,51,Tm=02:20,0 
1102,03-20 02:23:18.835,51,51,Tm=02:21,0 
1103,03-20 02:24:08.959,51,51,Tm=02:21,0 
1104,03-20 02:24:58.911,51,51,Tm=02:22,0 
1105,			,51,51,Tm=02:23,0 
1106,03-20 02:26:39.606,51,51,Tm=02:24,0 
1107,03-20 02:27:28.991,51,51,Tm=02:25,0 
1108,03-20 02:28:18.906,51,51,Tm=02:26,0 
1109,03-20 02:29:08.992,51,51,Tm=02:26,0 
1110,03-20 02:29:58.891,51,51,Tm=02:27,0 
1111,03-20 02:30:48.970,51,51,Tm=02:28,0 
1112,03-20 02:31:38.909,51,51,Tm=02:29,0 
1113,03-20 02:32:29.238,51,51,Tm=02:30,0 
1114,03-20 02:33:18.942,51,51,Tm=02:31,0 
1115,03-20 02:34:09.287,51,51,Tm=02:31,0 
1116,03-20 02:34:58.991,51,51,Tm=02:32,0 
1117,03-20 02:35:49.869,51,51,Tm=02:33,0 
1118,			,54,51,Tm=02:34,0 
1119,03-20 02:37:29.171,55,54,Tm=02:35,0 
1120,03-20 02:38:19.087,54,55,Tm=02:36,0 
1121,03-20 02:39:09.206,53,54,Tm=02:36,0 
1122,			,53,53,Tm=02:37,0 
1123,03-20 02:40:49.742,53,53,Tm=02:38,0 
1124,			,52,53,Tm=02:39,0 
1125,03-20 02:42:31.826,52,52,Tm=02:40,0 
1126,03-20 02:43:21.776,52,52,Tm=02:41,0 
1127,03-20 02:44:11.898,52,52,Tm=02:41,0 
1128,03-20 02:45:01.848,52,52,Tm=02:42,0 
1129,03-20 02:45:51.971 1Cmode=7,52,52,Tm=02:43,0 
1130,03-20 02:46:41.906,52,52,Tm=02:44,0 
1131,03-20 02:47:32.013,52,52,Tm=02:45,0 
1132,03-20 02:48:21.965,52,52,Tm=02:46,0 
1133,03-20 02:49:12.087 1Cmode=7,52,52,Tm=02:46,0 
1134,03-20 02:50:03.817,52,52,Tm=02:47,0 
1135,03-20 02:50:52.161,52,52,Tm=02:48,0 
1136,03-20 02:51:42.846,52,52,Tm=02:49,0 
1137,03-20 02:52:32.220 0Cmode=7,52,52,Tm=02:50,0 
1138,03-20 02:53:22.188,52,52,Tm=02:51,0 
1139,03-20 02:54:12.264,52,52,Tm=02:51,0 
1140,03-20 02:55:02.231,52,52,Tm=02:52,0 
1141,03-20 02:55:52.386,52,52,Tm=02:53,0 
1142,03-20 02:56:42.306,52,52,Tm=02:54,0 
1143,03-20 02:57:32.430,52,52,Tm=02:55,0 
1144,			,52,52,Tm=02:56,0 
1145,03-20 02:59:12.957,52,52,Tm=02:56,0 
1146,03-20 03:00:02.426,52,52,Tm=02:57,0 
1147,03-20 03:00:52.549,52,52,Tm=02:58,0 
1148,03-20 03:01:42.470,52,52,Tm=02:59,0 
1149,03-20 03:02:32.609,52,52,Tm=03:00,0 
1150,03-20 03:03:22.560,52,52,Tm=03:01,0 
1151,03-20 03:04:12.684,52,52,Tm=03:01,0 
1152,03-20 03:05:02.636,52,52,Tm=03:02,0 
1153,03-20 03:05:52.759,52,52,Tm=03:03,0 
1154,03-20 03:06:42.805,52,52,Tm=03:04,0 
1155,03-20 03:07:32.850,52,52,Tm=03:05,0 
1156,03-20 03:08:22.740,52,52,Tm=03:06,0 
1157,03-20 03:09:12.863,52,52,Tm=03:06,0 
1158,03-20 03:10:02.815,52,52,Tm=03:07,0 
1159,03-20 03:10:52.891,52,52,Tm=03:08,0 
1160,03-20 03:11:42.874,52,52,Tm=03:09,0 
1161,03-20 03:12:33.138,52,52,Tm=03:10,0 
1162,03-20 03:13:22.934,52,52,Tm=03:11,0 
1163,			,52,52,Tm=03:11,0 
1164,03-20 03:15:03.852,52,52,Tm=03:12,0 
1165,03-20 03:15:53.164,52,52,Tm=03:13,0 
1166,03-20 03:16:43.085,52,52,Tm=03:14,0 
1167,03-20 03:17:33.177,52,52,Tm=03:15,0 
1168,03-20 03:18:23.144,52,52,Tm=03:16,0 
1169,03-20 03:19:13.221,52,52,Tm=03:16,0 
1170,03-20 03:20:03.220,52,52,Tm=03:17,0 
1171,03-20 03:20:53.328,52,52,Tm=03:18,0 
1172,			,52,52,Tm=03:19,0 
1173,03-20 03:22:33.746,52,52,Tm=03:20,0 
1174,03-20 03:23:23.323,52,52,Tm=03:21,0 
1175,03-20 03:24:13.463,52,52,Tm=03:21,0 
1176,03-20 03:25:03.368,52,52,Tm=03:22,0 
1177,03-20 03:25:53.491,52,52,Tm=03:23,0 
1178,03-20 03:26:43.427,52,52,Tm=03:24,0 
1179,03-20 03:27:33.519,52,52,Tm=03:25,0 
1180,03-20 03:28:23.487,52,52,Tm=03:26,0 
1181,03-20 03:29:13.595,52,52,Tm=03:26,0 
1182,			,52,52,Tm=03:27,0 
1183,03-20 03:30:53.779,52,52,Tm=03:28,0 
1184,03-20 03:31:43.731,52,52,Tm=03:29,0 
1185,03-20 03:32:33.886,52,52,Tm=03:30,0 
1186,03-20 03:33:23.760,52,52,Tm=03:31,0 
1187,03-20 03:34:13.852,52,52,Tm=03:31,0 
1188,03-20 03:35:03.835,52,52,Tm=03:32,0 
1189,03-20 03:35:53.958,52,52,Tm=03:33,0 
1190,03-20 03:36:43.895,52,52,Tm=03:34,0 
1191,			,52,52,Tm=03:35,0 
1192,03-20 03:38:24.641,52,52,Tm=03:36,0 
1193,03-20 03:39:14.062,52,52,Tm=03:36,0 
1194,03-20 03:40:04.014,52,52,Tm=03:37,0 
1195,03-20 03:40:54.122,52,52,Tm=03:38,0 
1196,03-20 03:42:26.927,52,52,Tm=03:40,0 
1197,03-20 03:43:16.988,52,52,Tm=03:41,0 
1198,03-20 03:44:06.925,52,52,Tm=03:41,0 
1199,03-20 03:44:57.001,52,52,Tm=03:42,0 
1200,03-20 03:45:47.390,52,52,Tm=03:43,0 
1201,03-20 03:46:37.092,52,52,Tm=03:44,0 
1202,03-20 03:47:27.075 0Cmode=7,52,52,Tm=03:45,0 
1203,03-20 03:48:17.167,52,52,Tm=03:46,0 
1204,03-20 03:49:07.088,52,52,Tm=03:46,0 
1205,03-20 03:49:57.243,52,52,Tm=03:47,0 
1206,03-20 03:50:47.163,52,52,Tm=03:48,0 
1207,03-20 03:51:37.256,52,52,Tm=03:49,0 
1208,03-20 03:52:27.223,52,52,Tm=03:50,0 
1209,03-20 03:53:17.346,52,52,Tm=03:51,0 
1210,03-20 03:54:07.376,52,52,Tm=03:51,0 
1211,03-20 03:54:57.406,52,52,Tm=03:52,0 
1212,03-20 03:55:47.389,52,52,Tm=03:53,0 
1213,03-20 03:56:37.481 0Cmode=7,52,52,Tm=03:54,0 
1214,03-20 03:57:27.402,52,52,Tm=03:55,0 
1215,03-20 03:58:17.510 1Cmode=7,52,52,Tm=03:56,0 
1216,03-20 03:59:07.477,52,52,Tm=03:56,0 
1217,03-20 03:59:57.585,52,52,Tm=03:57,0 
1218,03-20 04:00:47.568,52,52,Tm=03:58,0 
1219,03-20 04:01:37.645,52,52,Tm=03:59,0 
1220,03-20 04:03:17.720,52,51,Tm=04:01,0 
1221,03-20 04:04:57.780,52,52,Tm=04:02,0 
1222,			 Cmode=7,WIn=52,La,,
1223,Cmode=7,52,52,Tm=04:05,0 
1224,03-20 04:08:17.993,51,52,Tm=04:06,0 
1225,03-20 04:09:07.945,52,51,Tm=04:06,0 
1226,			,51,52,Tm=04:07,0 
1227,			,52,51,Tm=04:08,0 
1228,			,51,52,Tm=04:09,0 
1229,Cmode=7,51,51,Tm=04:10,0 
1230,03-20 04:13:18.359,51,51,Tm=04:11,0 
1231,			,51,51,Tm=04:11,0 
1232,03-20 04:14:59.230 1Cmode=7,51,51,Tm=04:12,0 
1233,03-20 04:15:48.464,52,51,Tm=04:13,0 
1234,03-20 04:16:38.447,51,52,Tm=04:14,0 
1235,03-20 04:17:28.508,51,51,Tm=04:15,0 
1236,			,51,51,Tm=04:17,0 
1237,Do not push new ai_appoint.since Cmode=7,or appoint is empty.,,,
1238,			,51,51,Tm=04:18,0 
1239,			,52,51,Tm=04:19,0 
1240,03-20 04:22:05.474,51,52,Tm=04:20,0 
1241,03-20 04:22:55.426,51,51,Tm=04:20,0 
1242,Cmode=7,52,51,Tm=04:21,0 
1243,Cmode=7,52,52,Tm=04:22,0 
1244,03-20 04:25:25.656 1Cmode=7,51,52,Tm=04:23,0 
1245,03-20 04:26:15.608,51,51,Tm=04:24,0 
1246,03-20 04:27:05.700,51,51,Tm=04:25,0 
1247,03-20 04:27:55.668,51,51,Tm=04:25,0 
1248,			,51,51,Tm=04:26,0 
1249,03-20 04:29:35.727,51,51,Tm=04:27,0 
1250,03-20 04:30:25.835,51,51,Tm=04:28,0 
1251,03-20 04:31:16.302,51,51,Tm=04:29,0 
1252,03-20 04:32:05.910 1Cmode=7,51,51,Tm=04:30,0 
1253,03-20 04:32:55.847,51,51,Tm=04:30,0 
1254,03-20 04:33:45.970,51,51,Tm=04:31,0 
1255,03-20 04:34:36.827,51,51,Tm=04:32,0 
1256,03-20 04:35:26.030 1Cmode=7,51,51,Tm=04:33,0 
1257,03-20 04:36:15.997,51,51,Tm=04:34,0 
1258,03-20 04:37:06.105,51,51,Tm=04:35,0 
1259,03-20 04:37:56.041,51,51,Tm=04:35,0 
1260,03-20 04:38:46.165,51,51,Tm=04:36,0 
1261,03-20 04:39:36.101,51,51,Tm=04:37,0 
1262,			,51,51,Tm=04:38,0 
1263,03-20 04:41:16.161,51,51,Tm=04:39,0 
1264,03-20 04:42:06.284,51,51,Tm=04:40,0 
1265,03-20 04:42:56.236 0Cmode=7,51,51,Tm=04:40,0 
1266,03-20 04:43:46.345,51,51,Tm=04:41,0 
1267,03-20 04:44:36.297,51,51,Tm=04:42,0 
1268,03-20 04:45:26.421,51,51,Tm=04:43,0 
1269,03-20 04:46:16.374 0Cmode=7,51,51,Tm=04:44,0 
1270,03-20 04:47:06.482,51,51,Tm=04:45,0 
1271,03-20 04:47:56.419,51,51,Tm=04:45,0 
1272,03-20 04:48:46.590,51,51,Tm=04:46,0 
1273,03-20 04:49:36.479,51,51,Tm=04:47,0 
1274,03-20 04:50:26.603,51,51,Tm=04:48,0 
1275,			,51,51,Tm=04:49,0 
1276,03-20 04:52:07.350,51,51,Tm=04:50,0 
1277,03-20 04:52:56.615,51,51,Tm=04:50,0 
1278,03-20 04:53:46.723,51,51,Tm=04:51,0 
1279,03-20 04:54:36.675,51,51,Tm=04:52,0 
1280,03-20 04:55:26.798,51,51,Tm=04:53,0 
1281,03-20 04:56:16.750,51,51,Tm=04:54,0 
1282,03-20 04:57:06.858,51,51,Tm=04:55,0 
1283,03-20 04:57:56.810,51,51,Tm=04:55,0 
1284,			,51,51,Tm=04:56,0 
1285,03-20 04:59:37.275 0Cmode=7,51,51,Tm=04:57,0 
1286,03-20 05:00:26.993,51,51,Tm=04:58,0 
1287,03-20 05:01:16.976,51,51,Tm=04:59,0 
1288,03-20 05:02:07.053,51,51,Tm=05:00,0 
1289,03-20 05:02:57.036,51,51,Tm=05:00,0 
1290,03-20 05:03:47.159,51,51,Tm=05:01,0 
1291,03-20 05:04:37.142,51,51,Tm=05:02,0 
1292,03-20 05:05:27.219,51,51,Tm=05:03,0 
1293,03-20 05:06:17.155,51,51,Tm=05:04,0 
1294,			,51,51,Tm=05:05,0 
1295,03-20 05:07:57.246,51,51,Tm=05:05,0 
1296,03-20 05:08:47.557,51,51,Tm=05:06,0 
1297,03-20 05:09:37.290 0Cmode=7,51,51,Tm=05:07,0 
1298,03-20 05:10:27.382,51,51,Tm=05:08,0 
1299,03-20 05:11:17.350,51,51,Tm=05:09,0 
1300,03-20 05:12:07.489,51,51,Tm=05:10,0 
1301,03-20 05:12:57.456,51,51,Tm=05:10,0 
1302,03-20 05:13:47.533,51,51,Tm=05:11,0 
1303,			,51,51,Tm=05:12,0 
1304,03-20 05:15:28.185,51,51,Tm=05:13,0 
1305,03-20 05:16:17.529,51,51,Tm=05:14,0 
1306,03-20 05:17:07.637,51,51,Tm=05:15,0 
1307,03-20 05:17:57.589,51,51,Tm=05:15,0 
1308,			,51,51,Tm=05:17,0 
1309,03-20 05:20:14.527,51,51,Tm=05:18,0 
1310,03-20 05:21:04.151,51,51,Tm=05:18,0 
1311,03-20 05:21:54.103,51,51,Tm=05:19,0 
1312,03-20 05:22:44.211,51,51,Tm=05:20,0 
1313,03-20 05:23:34.163,51,51,Tm=05:21,0 
1314,03-20 05:24:24.271,51,51,Tm=05:22,0 
1315,03-20 05:25:14.223,51,51,Tm=05:23,0 
1316,03-20 05:26:04.330,51,51,Tm=05:23,0 
1317,03-20 05:26:54.282,51,51,Tm=05:24,0 
1318,			,51,51,Tm=05:25,0 
1319,03-20 05:28:34.436,51,51,Tm=05:26,0 
1320,03-20 05:29:24.543,51,51,Tm=05:27,0 
1321,03-20 05:30:14.495,51,51,Tm=05:28,0 
1322,03-20 05:31:04.603,51,51,Tm=05:28,0 
1323,03-20 05:31:54.555,51,51,Tm=05:29,0 
1324,03-20 05:32:44.678,51,51,Tm=05:30,0 
1325,03-20 05:33:34.615,51,51,Tm=05:31,0 
1326,03-20 05:34:24.722,51,51,Tm=05:32,0 
1327,			,51,51,Tm=05:33,0 
1328,03-20 05:36:05.422,51,51,Tm=05:33,0 
1329,03-20 05:36:54.750,51,51,Tm=05:34,0 
1330,03-20 05:37:44.857,51,51,Tm=05:35,0 
1331,03-20 05:38:34.794,51,51,Tm=05:36,0 
1332,03-20 05:39:24.964,51,51,Tm=05:37,0 
1333,03-20 05:40:14.853,51,51,Tm=05:38,0 
1334,03-20 05:41:04.977,51,51,Tm=05:38,0 
1335,03-20 05:41:54.929,51,51,Tm=05:39,0 
1336,			,51,51,Tm=05:40,0 
1337,03-20 05:43:35.316,51,51,Tm=05:41,0 
1338,03-20 05:44:25.096,51,51,Tm=05:42,0 
1339,03-20 05:45:15.064,51,51,Tm=05:43,0 
1340,03-20 05:46:05.171,51,51,Tm=05:43,0 
1341,03-20 05:46:55.123,53,51,Tm=05:44,0 
1342,03-20 05:47:44.810 1Cmode=7,54,53,Tm=05:45,0 
1343,03-20 05:48:35.183,54,54,Tm=05:46,0 
1344,			,53,54,Tm=05:47,0 
1345,03-20 05:50:15.991,53,53,Tm=05:48,0 
1346,03-20 05:51:05.366 1Cmode=7,53,53,Tm=05:48,0 
1347,Cmode=7,52,53,Tm=05:49,0 
1348,			,52,52,Tm=05:50,0 
1349,Cmode=7,52,52,Tm=05:52,0 
1350,			,52,52,Tm=05:53,0 
1351,			,52,52,Tm=05:53,0 
1352,03-20 05:56:56.433 1Cmode=7,52,52,Tm=05:54,0 
1353,03-20 05:57:45.808 1Cmode=7,52,52,Tm=05:55,0 
1354,03-20 05:58:35.759,52,52,Tm=05:56,0 
1355,			,53,52,Tm=05:57,0 
1356,			,53,53,Tm=05:58,0 
1357,03-20 06:01:05.974,52,53,Tm=05:58,0 
1358,03-20 06:01:55.941,52,52,Tm=05:59,0 
1359,03-20 06:02:46.049,52,52,Tm=06:00,0 
1360,03-20 06:03:35.985,52,52,Tm=06:01,0 
1361,03-20 06:04:26.109,52,52,Tm=06:02,0 
1362,03-20 06:05:16.061 1Cmode=7,52,52,Tm=06:03,0 
1363,			,52,52,Tm=06:04,0 
1364,			,52,52,Tm=06:04,0 
1365,03-20 06:07:46.244,52,52,Tm=06:05,0 
1366,03-20 06:08:36.196,52,52,Tm=06:06,0 
1367,03-20 06:09:26.303,52,52,Tm=06:07,0 
1368,03-20 06:10:16.255,52,52,Tm=06:08,0 
1369,03-20 06:11:06.363 1Cmode=7,52,52,Tm=06:09,0 
1370,03-20 06:11:56.299,52,52,Tm=06:09,0 
1371,03-20 06:12:46.438,52,52,Tm=06:10,0 
1372,03-20 06:13:36.375,52,52,Tm=06:11,0 
1373,03-20 06:14:26.498,52,52,Tm=06:12,0 
1374,03-20 06:15:16.450,52,52,Tm=06:13,0 
1375,03-20 06:16:06.558,52,52,Tm=06:14,0 
1376,03-20 06:16:56.541,52,52,Tm=06:14,0 
1377,03-20 06:17:46.649,52,52,Tm=06:15,0 
1378,03-20 06:18:37.926,52,52,Tm=06:16,0 
1379,03-20 06:20:13.384,52,52,Tm=06:18,0 
1380,03-20 06:21:03.383,52,52,Tm=06:18,0 
1381,03-20 06:21:53.444,52,52,Tm=06:19,0 
1382,03-20 06:22:43.396,52,52,Tm=06:20,0 
1383,03-20 06:23:33.503,52,52,Tm=06:21,0 
1384,03-20 06:24:23.455,52,52,Tm=06:22,0 
1385,			,52,52,Tm=06:23,0 
1386,03-20 06:26:03.562,52,52,Tm=06:23,0 
1387,03-20 06:26:53.654,52,52,Tm=06:24,0 
1388,03-20 06:27:43.606,52,52,Tm=06:25,0 
1389,03-20 06:28:33.714,52,52,Tm=06:26,0 
1390,03-20 06:29:23.666,52,52,Tm=06:27,0 
1391,03-20 06:30:13.789,52,52,Tm=06:28,0 
1392,03-20 06:31:03.803,52,52,Tm=06:28,0 
1393,03-20 06:31:53.849,52,52,Tm=06:29,0 
1394,			,52,52,Tm=06:30,0 
1395,03-20 06:33:34.501,52,52,Tm=06:31,0 
1396,03-20 06:34:23.860,52,52,Tm=06:32,0 
1397,03-20 06:35:13.968,52,52,Tm=06:33,0 
1398,03-20 06:36:03.920,52,52,Tm=06:33,0 
1399,03-20 06:36:54.043,52,52,Tm=06:34,0 
1400,03-20 06:37:43.995,52,52,Tm=06:35,0 
1401,03-20 06:38:34.119,52,52,Tm=06:36,0 
1402,03-20 06:39:24.055,52,52,Tm=06:37,0 
1403,03-20 06:40:14.163,52,52,Tm=06:38,0 
1404,03-20 06:41:04.380,52,52,Tm=06:38,0 
1405,03-20 06:41:54.222,52,52,Tm=06:39,0 
1406,03-20 06:42:44.174,52,52,Tm=06:40,0 
1407,03-20 06:43:34.282,52,52,Tm=06:41,0 
1408,03-20 06:44:24.234,52,52,Tm=06:42,0 
1409,03-20 06:45:14.342,52,52,Tm=06:43,0 
1410,03-20 06:46:04.309,52,52,Tm=06:43,0 
1411,03-20 06:46:54.417,52,52,Tm=06:44,0 
1412,03-20 06:47:44.369,52,52,Tm=06:45,0 
1413,			,52,52,Tm=06:46,0 
1414,03-20 06:49:24.429,52,52,Tm=06:47,0 
1415,03-20 06:50:14.536,52,52,Tm=06:48,0 
1416,03-20 06:51:04.488,52,52,Tm=06:48,0 
1417,03-20 06:51:54.596,52,52,Tm=06:49,0 
1418,03-20 06:52:44.548,52,52,Tm=06:50,0 
1419,03-20 06:53:34.671,52,52,Tm=06:51,0 
1420,03-20 06:54:24.608,52,52,Tm=06:52,0 
1421,03-20 06:55:14.731,52,52,Tm=06:53,0 
1422,			,52,52,Tm=06:53,0 
1423,03-20 06:56:55.259,52,52,Tm=06:54,0 
1424,03-20 06:57:44.727,52,52,Tm=06:55,0 
1425,03-20 06:58:34.850,52,52,Tm=06:56,0 
1426,03-20 06:59:24.794,52,52,Tm=06:57,0 
